,종목코드,회사명
0,000020,동화약품
1,000040,KR모터스
2,000050,경방
3,000060,메리츠화재
4,000070,삼양홀딩스
5,000080,하이트진로
6,000100,유한양행
7,000120,CJ대한통운
8,000140,하이트진로홀딩스
9,000150,두산
10,000180,성창기업지주
11,000210,대림산업
12,000220,유유제약
13,000230,일동홀딩스
14,000240,한국테크놀로지그룹
15,000250,삼천당제약
16,000270,기아차
17,000300,대유플러스
18,000320,노루홀딩스
19,000370,한화손해보험
20,000390,삼화페인트
21,000400,롯데손해보험
22,000430,대원강업
23,000440,중앙에너비스
24,000480,조선내화
25,000490,대동공업
26,000500,가온전선
27,000520,삼일제약
28,000540,흥국화재
29,000590,CS홀딩스
30,000640,동아쏘시오홀딩스
31,000650,천일고속
32,000660,SK하이닉스
33,000670,영풍
34,000680,LS네트웍스
35,000700,유수홀딩스
36,000720,현대건설
37,000760,이화산업
38,000810,삼성화재
39,000850,화천기공
40,000860,강남제비스코
41,000880,한화
42,000890,보해양조
43,000910,유니온
44,000950,전방
45,000970,한국주철관
46,000990,DB하이텍
47,001000,신라섬유
48,001020,페이퍼코리아
49,001040,CJ
50,001060,JW중외제약
51,001070,대한방직
52,001080,만호제강
53,001120,LG상사
54,001130,대한제분
55,001140,국보
56,001200,유진투자증권
57,001210,금호전기
58,001230,동국제강
59,001250,GS글로벌
60,001260,남광토건
61,001270,부국증권
62,001290,상상인증권
63,001340,백광산업
64,001360,삼성제약
65,001380,SG충방
66,001390,KG케미칼
67,001420,태원물산
68,001430,세아베스틸
69,001440,대한전선
70,001450,현대해상
71,001460,BYC
72,001470,삼부토건
73,001500,현대차증권
74,001510,SK증권
75,001520,동양
76,001530,DI동일
77,001540,안국약품
78,001550,조비
79,001560,제일연마
80,001570,금양
81,001620,케이비아이동국실업
82,001630,종근당홀딩스
83,001680,대상
84,001720,신영증권
85,001740,SK네트웍스
86,001750,한양증권
87,001770,신화실업
88,001780,알루코
89,001790,대한제당
90,001800,오리온홀딩스
91,001810,무림SP
92,001820,삼화콘덴서
93,001840,이화공영
94,001880,대림건설
95,001940,KISCO홀딩스
96,002020,코오롱
97,002030,아세아
98,002070,비비안
99,002100,경농
100,002140,고려산업
101,002150,도화엔지니어링
102,002170,삼양통상
103,002200,한국수출포장
104,002210,동성제약
105,002220,한일철강
106,002230,피에스텍
107,002240,고려제강
108,002270,롯데푸드
109,002290,삼일기업공사
110,002310,아세아제지
111,002320,한진
112,002350,넥센타이어
113,002360,SH에너지화학
114,002380,KCC
115,002390,한독
116,002410,범양건영
117,002420,세기상사
118,002450,삼익악기
119,002460,화성산업
120,002600,조흥
121,002620,제일파마홀딩스
122,002630,오리엔트바이오
123,002680,한탑
124,002690,동일제강
125,002700,신일전자
126,002710,TCC스틸
127,002720,국제약품
128,002760,보락
129,002780,진흥기업
130,002790,아모레G
131,002800,신신제약
132,002810,삼영무역
133,002820,선창산업
134,002840,미원상사
135,002870,신풍제지
136,002880,대유에이텍
137,002900,동양물산
138,002920,유성기업
139,002960,한국쉘석유
140,002990,금호산업
141,003000,부광약품
142,003010,혜인
143,003030,세아제강지주
144,003060,에이프로젠제약
145,003070,코오롱글로벌
146,003080,성보화학
147,003090,대웅
148,003100,선광
149,003120,일성신약
150,003160,디아이
151,003200,일신방직
152,003220,대원제약
153,003230,삼양식품
154,003240,태광산업
155,003280,흥아해운
156,003300,한일홀딩스
157,003310,대주산업
158,003350,한국화장품제조
159,003380,하림지주
160,003410,쌍용양회
161,003460,유화증권
162,003470,유안타증권
163,003480,한진중공업홀딩스
164,003490,대한항공
165,003520,영진약품
166,003530,한화투자증권
167,003540,대신증권
168,003550,LG
